rate,IR,totalAsset2023,totalDebt2023,totalEquity2023,revenue2023,operatingIncome2023,earningBeforeTax2023,margin2023,turnover2023,leverage2023,totalAsset2022,totalDebt2022,totalEquity2022,revenue2022,operatingIncome2022,earningBeforeTax2022,margin2022,turnover2022,leverage2022,totalAsset2021,totalDebt2021,totalEquity2021,revenue2021,operatingIncome2021,earningBeforeTax2021,margin2021,turnover2021,leverage2021
BBB,5,25332669000,18170657000,7162012000,22913972000,2027396000,1451552000,0.063,0.905,3.537,22246000000,16364000000,5882000000,19201000000,1079000000,615000000,0.032,0.863,3.782,18035000000,12706000000,5329000000,11815000000,780000000,545000000,0.046,0.655,3.384
BBB,8,1.29E+11,81387885000,47678563000,2.05E+11,10992856000,6317911000,0.031,1.591,2.707,1.25E+11,82763769000,42250206000,1.85E+11,2988557000,5871997000,0.032,1.482,2.959,86120462000,50552146000,35568316000,1.64E+11,8712664000,6229824000,0.038,1.899,2.421
BBB,11,14935875000,8794783000,6141092000,19987417000,-433658000,930012000,0.047,1.338,2.432,17379731000,11445745000,5933986000,19258253000,195173000,612219000,0.032,1.108,2.929,15155290000,9615857000,5539433000,17872713000,-179569000,335483000,0.019,1.179,2.736
BBB,13,16759000000,9910000000,6849000000,19816000000,792000000,682000000,0.034,1.182,2.447,17049000000,11029000000,6020000000,22616000000,994000000,830000000,0.037,1.327,2.832,15264000000,9671000000,5593000000,23415000000,797000000,645000000,0.028,1.534,2.729
BBB,8,81974000000,39566000000,42408000000,60714000000,317000000,5793000000,0.095,0.741,1.933,77293431000,35934246000,41359185000,61876337000,209016000,2216773000,0.036,0.801,1.869,68566970000,29733343000,38833627000,46465208000,1137584000,4749621000,0.102,0.678,1.766
BBB,14,1.95E+11,81700928079,1.14E+11,2.68E+11,36225506696,34171514562,0.128,1.369,1.718,1.85E+11,1.00E+11,84526109547,2.16E+11,19412158410,13685581219,0.063,1.166,2.187,1.62E+11,89372069023,72657021199,1.79E+11,714557697,1124023323,0.006,1.107,2.23
BBB,12,40238051000,25229413000,15008638000,18840457000,447695000,6665576000,0.354,0.468,2.681,21493000000,11104000000,10389000000,17278000000,1001000000,962000000,0.056,0.804,2.069,21456000000,11903000000,9553000000,15429000000,1001000000,868000000,0.056,0.719,2.246
BBB,10,22406166000,13625461000,8780705000,33193528000,703877000,439889000,0.013,1.481,2.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB,13,37231040000,25989301000,11241739000,43399772000,1896582000,863509000,0.02,1.166,3.312,35364176000,24831177000,10532999000,37318845000,1429323000,690175000,0.018,1.055,3.357,34232836000,24322206000,9910630000,32612005000,1259463000,557831000,0.017,0.953,3.454
BBB,10,40377461000,26243341000,14134120000,76250516000,2165688000,1348686000,0.018,1.888,2.857,37398385000,24579290000,12819095000,65419508000,1731419000,1324374000,0.02,1.749,2.917,33697974000,22033167000,11664807000,63336172000,1517130000,1342055000,0.021,1.88,2.889
BBB,8,66095661000,46399665000,19695996000,1.63E+11,3354101000,595199000,0.004,2.473,3.356,67726801000,48241018000,19485783000,1.74E+11,568217000,-1562065000,-0.009,2.572,3.476,63412177000,44164140000,19248037000,1.39E+11,7193505000,3474067000,0.025,2.185,3.294
BBB,7,24302936000,14745730000,9557206000,23943980000,1166607000,828940000,0.035,0.985,2.543,24800031000,15689934000,9110097000,23186701000,1141127000,743870000,0.032,0.935,2.722,23300984000,14608183000,8692801000,26423080000,1274986000,1174735000,0.044,1.134,2.68
BBB,7,29453126000,13843926000,15609200000,14974220000,1886508000,1822707000,0.122,0.508,1.887,18943730000,7985467000,10958263000,14910346000,2893668000,3013425000,0.202,0.787,1.729,15217642,7901882,7315760,11860599,1957373,1648467,0.139,0.779,2.08
BBB,10,17039247000,11220083000,5819164000,15618310000,174588000,-232282000,-0.015,0.917,2.928,17834000000,11782000000,6052000000,15993000000,258000000,6000000,0,0.897,2.947,14223000000,10659000000,3564000000,15856000000,229000000,88000000,0.006,1.115,3.991
BBB,13,20998000000,10762000000,10236000000,63702000000,1569000000,1403000000,0.022,3.034,2.051,21187000000,12074000000,9113000000,61658000000,906000000,791000000,0.013,2.91,2.325,20698000000,12216000000,8482000000,51839000000,2543000000,2280000000,0.044,2.505,2.44
BBB,9,1.22E+11,1.01E+11,21757015000,96594231000,6285925000,4444981000,0.046,0.789,5.625,44079303000,26058818000,18020485000,64975298000,1763699000,2000792000,0.031,1.474,2.446,44579202000,28176769000,16402433000,31604300000,1340597000,780089000,0.025,0.709,2.718
BBB,11,95837921000,60281343000,35556578000,81126319000,1816808000,2123987000,0.026,0.846,2.695,88518334000,55186978000,33331356000,83997228000,2652676000,3482796000,0.041,0.949,2.656,77938000000,46422000000,31516000000,71354000000,2949000000,3988000000,0.056,0.916,2.473
BBB,9,3.23E+11,1.48E+11,1.75E+11,2.02E+11,389601220,-36535313276,-0.181,0.625,1.849,3.48E+11,1.44E+11,2.04E+11,2.19E+11,472202217,1.14E+11,0.523,0.628,1.704,2.32E+11,1.22E+11,1.10E+11,1.92E+11,-629487987,42963837606,0.224,0.827,2.104
BBB,11,70053214000,36165758000,33887456000,68387768000,-1411425000,1720431000,0.025,0.976,2.067,67514234000,35453730000,32060504000,60260707000,1661799000,1774264000,0.029,0.893,2.106,0,0,0,0,0,0,0,0,0
BBB,13,4.42E+11,2.14E+11,2.28E+11,4.27E+11,39719633111,39950483381,0.093,0.967,1.94,4.07E+11,1.98E+11,2.09E+11,4.32E+11,23653111731,23151471287,0.054,1.061,1.951,3.98E+11,1.99E+11,1.99E+11,3.25E+11,16574191766,17986521741,0.055,0.816,2.003
BBB,NULL,2.07E+11,1.02E+11,1.05E+11,1.65E+11,-9934811736,-13340644670,-0.081,0.797,1.975,2.10E+11,96247448806,1.14E+11,2.09E+11,18926504841,15696189048,0.075,0.993,1.843,1.84E+11,79212937780,1.05E+11,1.76E+11,5186045418,3920751866,0.022,0.956,1.757
BBB,10,41049191000,18737587000,22311604000,26664087000,1933707000,3088730000,0.116,0.65,1.84,38326205000,18722428000,19603777000,34412919000,1794765000,2996065000,0.087,0.898,1.955,35566000000,18729000000,16837000000,22479000000,35000000,1882000000,0.084,0.632,2.112
BBB,9,94656174000,32521791000,62134383000,41629698000,2177338000,3364765000,0.081,0.44,1.523,0,0,0,0,0,0,0,0,0,85459143000,34625702000,50833441000,58753420000,7627055000,11519520000,0.196,0.688,1.681
BBB,13,93503758000,24346014000,69157744000,46574248000,8607361000,16843032000,0.362,0.498,1.352,86966454000,27921716000,59044738000,1.04E+11,12383025000,12501868000,0.12,1.196,1.473,1.27E+11,16823293000,1.10E+11,56035616000,9450067000,6722155000,0.12,0.441,1.152
BBB,10,9192030000,5053912000,4138118000,12738236000,92335000,129925000,0.01,1.386,2.221,7674375000,3665677000,4008698000,11688512000,436479000,458279000,0.039,1.523,1.914,9499000000,5948000000,3551000000,11704000000,43000000,108000000,0.009,1.232,2.675
BBB,9,26538532080,7111166509,19427365571,47725941122,3154888846,3352148473,0.07,1.798,1.366,39042514046,20761310846,18281203200,41688296303,544992865,996998253,0.024,1.068,2.136,32923027664,12344227335,20578800329,39548973022,4163619792,3526532888,0.089,1.201,1.6
